date,claude-haiku-4-5,claude-sonnet-4-5,claude-sonnet-4-6,gemini-2.0-flash,gemini-2.5-flash,gpt-4.1-mini,gpt-4.1-nano,gpt-5,gpt-5-mini,gpt-5-nano,gpt-5.1,gpt-5.2,gpt-5.4,gpt-5.4-2026-03-05
2026-03-15,,,,0.5266666666666666,0.8,0.7892976588628763,0.7233333333333334,0.9666666666666667,0.9163879598662207,0.8355704697986577,0.9563758389261745,0.9666666666666667,,0.96
2026-03-22,0.8533834586466166,0.9056603773584906,0.9547169811320755,,0.8120805369127517,0.6632996632996633,0.7090301003344481,0.9765100671140939,0.9124579124579124,0.8624161073825504,0.9697986577181208,0.9663299663299664,,
2026-03-28,,,,,,0.7966666666666666,0.7324414715719063,,,,,,,
2026-04-01,0.8383458646616542,0.9063670411985019,0.9588014981273408,,,0.8060200668896321,0.7233333333333334,0.97,0.9066666666666666,0.862876254180602,0.9566666666666667,0.97,0.96,
2026-04-06,,,,,0.8033333333333333,0.802675585284281,0.6866666666666666,0.9665551839464883,0.8929765886287625,0.8733333333333333,0.9733333333333334,0.9698996655518395,0.9566666666666667,
2026-04-13,0.8461538461538461,0.8996655518394648,0.9565217391304348,,0.8093645484949833,0.8033333333333333,0.7,0.9666666666666667,0.9230769230769231,0.8766666666666667,0.9632107023411371,0.9698996655518395,0.9562289562289562,
2026-04-20,0.8466666666666667,0.8896321070234113,0.9565217391304348,,0.8093645484949833,0.8060200668896321,0.7266666666666667,0.9698996655518395,0.919732441471572,0.85,0.9697986577181208,0.9766666666666667,0.9530201342281879,
2026-04-27,0.8528428093645485,0.88,0.9533333333333334,,,0.7866666666666666,0.71,0.9733333333333334,0.9266666666666666,0.8695652173913043,0.959866220735786,0.9697986577181208,0.9666666666666667,
2026-05-04,0.8528428093645485,0.8926174496644296,0.9565217391304348,,0.802675585284281,,,,,,,,,
2026-05-11,0.8533333333333334,0.8929765886287625,0.959866220735786,,0.8120805369127517,0.79,0.7023411371237458,0.9633333333333334,0.9026845637583892,0.8624161073825504,0.9733333333333334,0.9732441471571907,0.959866220735786,
2026-05-18,0.85,0.8963210702341137,0.9566666666666667,,0.8047138047138047,0.82,0.7023411371237458,0.9733333333333334,0.919732441471572,0.8795986622073578,0.9698996655518395,0.9766666666666667,0.96,
2026-05-25,0.8528428093645485,0.8896321070234113,0.9665551839464883,,0.8087248322147651,0.8260869565217391,0.7123745819397993,0.9697986577181208,0.9066666666666666,0.842809364548495,0.9531772575250836,0.9698996655518395,0.9632107023411371,
2026-06-01,0.8494983277591973,0.8966666666666666,0.9632107023411371,,0.802013422818792,0.8087248322147651,0.7166666666666667,0.9733333333333334,0.9060402684563759,0.8662207357859532,0.9565217391304348,0.9666666666666667,0.9632107023411371,
2026-06-08,0.8533333333333334,0.8996655518394648,0.96,,0.8087248322147651,0.8166666666666667,0.7266666666666667,0.9698996655518395,0.9261744966442953,0.8862876254180602,0.9530201342281879,0.9766666666666667,0.959866220735786,
2026-06-15,0.8528428093645485,0.8862876254180602,0.9496644295302014,,0.8066666666666666,0.7919463087248322,0.7391304347826086,0.9766666666666667,0.9066666666666666,0.8494983277591973,0.9698996655518395,,0.9732441471571907,
2026-06-22,0.8327759197324415,0.8896321070234113,0.959866220735786,,0.8066666666666666,0.8160535117056856,0.705685618729097,0.9633333333333334,0.9233333333333333,0.86,0.9630872483221476,0.9666666666666667,0.96,
2026-06-29,0.85,0.8866666666666667,0.959866220735786,,,0.81,0.7391304347826086,0.9732441471571907,0.9033333333333333,0.8366666666666667,0.96,0.97,0.9565217391304348,
2026-07-06,0.8361204013377926,0.8866666666666667,0.9665551839464883,,,0.7959866220735786,0.714765100671141,0.9765886287625418,0.9266666666666666,0.882943143812709,0.95,0.9665551839464883,0.9633333333333334,
